Date,Open,High,Low,Close,Volume
01-01-2010,174.91,180.4,174.18,178.89,99122
04-01-2010,290.14,294.97,289.59,294.02,6830
05-01-2010,246.4,248.59,244.46,244.65,31608
06-01-2010,219.73,226.36,217.44,223.74,48287
07-01-2010,131.2,138.98,129.92,136.16,91047
08-01-2010,131.2,136.87,129.32,134.45,34427
11-01-2010,111.62,117.62,109.44,115.07,85042
12-01-2010,273.24,274.89,268.69,270.73,29395
13-01-2010,220.22,223.47,218.81,220.99,93662
14-01-2010,241.61,242.52,236.12,237.28,96002
15-01-2010,104.12,105.32,98.94,100.07,18970
18-01-2010,293.98,299.92,292.06,298.97,71218
19-01-2010,266.49,267.89,263.28,264.76,77475
20-01-2010,142.47,145.81,139.92,144.95,75362
21-01-2010,136.36,142.31,133.74,139.43,24371
22-01-2010,136.68,141.2,136.17,140.26,96482
25-01-2010,160.85,166.12,160.44,165.83,90895
26-01-2010,204.95,206.53,200.47,202.36,20266
27-01-2010,186.39,186.56,180.89,181.79,20195
28-01-2010,158.25,158.58,157.3,157.36,28315
29-01-2010,222.37,223.03,216,218.67,84804
01-02-2010,127.9,129.29,122.44,123.12,76246
02-02-2010,158.43,159.73,154.24,157.03,42581
03-02-2010,173.27,178.51,171.12,176.11,46537
04-02-2010,191.21,194.09,188.92,191.87,80697
05-02-2010,257.04,258.32,254.57,255.17,98357
08-02-2010,139.93,142.47,139.23,141.47,76265
09-02-2010,202.85,203.8,198.61,200.17,93449
10-02-2010,218.48,220.8,213.1,213.62,23184
11-02-2010,109.29,112.09,108.37,111.93,24279
12-02-2010,221.51,222.79,220.55,222.75,27570
15-02-2010,134.1,139.11,133.62,136.72,44030
16-02-2010,113.01,114.44,107.78,108.4,63245
17-02-2010,289.78,293.54,287.41,293.15,56467
18-02-2010,293.13,295.04,292.63,294.33,36133
19-02-2010,261.68,265.11,261.59,262.31,79731
22-02-2010,160.92,164.75,159.03,162.17,44805
23-02-2010,119.53,125.3,116.6,123.17,44998
24-02-2010,236.85,239.17,235.86,237.72,18238
25-02-2010,188.03,190.4,187.67,188.84,82088
26-02-2010,124.41,132.25,122.7,129.32,69264
01-03-2010,199.04,204.51,196.32,201.61,49245
02-03-2010,106.88,107.53,103.95,106.3,24557
03-03-2010,281.86,286.36,279.99,283.93,71474
04-03-2010,151.76,152.35,149.7,150.65,97738
05-03-2010,232.5,233.14,228.16,229.79,66667
08-03-2010,162.34,165.34,162.07,163.31,92228
09-03-2010,204.01,209.51,201.97,208.29,86513
10-03-2010,209.34,216.42,207.16,213.63,66074
11-03-2010,136.97,137.24,132.49,135.39,59204
12-03-2010,293.92,295.73,293.14,294.2,99597
15-03-2010,255.03,257.79,252.09,252.15,93800
16-03-2010,287.9,295.57,286.26,292.86,26575
17-03-2010,278.97,284.25,276.85,283.78,81263
18-03-2010,219.58,222.18,217.21,221.08,77024
19-03-2010,284.37,289.27,283.79,287.41,21069
22-03-2010,117.7,120.33,116.91,119.85,25400
23-03-2010,139.2,143.03,137.66,140.13,25146
